count,T_count,sum_leg,reflex,on_reflex_,reflex_index,traj_error
4,0,[35.  8. 19. 45. 27.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],1,[ 1. -2.  5. -1.  2. -1.  0.  3. -1. -2.  2.  6. -1.  3. -3. -1.  1. -3.]
5,0,[34.  9. 19. 44. 27.  6.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],2,[ 0. -1.  6. -2.  1. -1.  1.  3. -1. -1.  2.  7. -2.  3. -3.  0.  0. -2.]
6,0,[29.  9. 18. 44. 28.  7.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],3,[-1. -2.  6. -3.  1. -1.  1.  3. -1.  1.  3.  6. -3.  3. -2. -1.  2. -2.]
7,0,[30.  9. 17. 35. 29.  8.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],4,[-2. -2.  5. -4.  1. -2.  2.  2. -1.  1.  3.  6. -4.  3. -2. -1.  0. -1.]
8,0,[29. 20. 15. 35. 32.  8.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],5,[-1. -2.  6. -4.  1. -1.  2.  2. -1.  2.  3.  6. -3.  3. -3. -2.  2. -2.]
9,0,[30. 22. 20. 36. 34.  7.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],6,[-4. -2.  5. -4.  1.  0.  2.  2. -2.  2.  3.  7. -4.  3. -3. -3.  1. -1.]
10,0,[38. 19. 21. 43. 36. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],7,[-2. -2.  5. -3.  1. -1.  1.  2. -1.  1.  3.  5. -4.  3. -3. -1.  1. -1.]
11,0,[38. 19. 20. 42. 38. 12.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],8,[-3. -2.  5. -3.  1.  0.  2.  2. -1.  1.  3.  7. -4.  3. -3. -3.  1. -1.]
12,0,[39. 18. 20. 43. 39. 19.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],9,[-4. -2.  5. -3.  1.  0.  2.  2. -1.  2.  3.  6. -5.  3. -3. -4.  0. -2.]
13,0,[41. 17. 20. 43. 41. 16.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],10,[-4. -2.  5. -4.  1.  0.  2.  2.  0.  2.  3.  7. -5.  3. -3. -3.  0. -1.]
14,0,[41. 17. 15. 43. 42. 16.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],11,[-5. -1.  5. -4.  0.  0.  3.  2.  0.  1.  3.  6. -6.  3. -3. -3.  1. -1.]
15,0,[43. 14. 17. 44. 44. 18.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],12,[-6. -1.  5. -4.  1. -1.  3.  2.  0.  2.  3.  5. -7.  3. -3. -4.  0. -1.]
16,0,[45. 15. 18. 43. 47. 19.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[-10. -10. -10. -10. -10. -10.],[-10. -10. -10. -10. -10. -10.],13,[-6. -1.  5. -4.  1.  0.  3.  0.  0.  3.  3.  6. -6.  3. -2. -4.  0.  0.]
