Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 1:0:28.820	-0.0059	0.4175	0.9067	0.0	0.0	0.0	24.994	0.357	-4.977	30.62	None	None	None	None	None	None	None	0.97592	0.21359	-0.00711	-0.04291
 2000-0-0 1:0:28.840	-0.0044	0.417	0.9077	0.0	0.0	0.0	24.994	0.357	-4.977	30.6	None	None	None	None	None	None	None	0.97589	0.21359	-0.00711	-0.04291
 2000-0-0 1:0:28.860	-0.0034	0.4155	0.9062	0.0	0.0	0.0	24.994	0.357	-4.977	30.64	None	None	None	None	None	None	None	0.97592	0.21356	-0.00711	-0.04291
 2000-0-0 1:0:28.880	-0.002	0.4165	0.9062	0.0	0.0	0.0	24.994	0.352	-4.977	30.64	None	None	None	None	None	None	None	0.97592	0.21356	-0.00711	-0.04291
 2000-0-0 1:0:28.900	-0.001	0.4165	0.9077	0.0	0.0	0.0	24.994	0.352	-4.977	30.64	None	None	None	None	None	None	None	0.97592	0.21356	-0.00714	-0.04291
 2000-0-0 1:0:28.920	-0.002	0.417	0.9077	0.0	0.0	0.0	24.994	0.352	-4.977	30.63	None	None	None	None	None	None	None	0.97592	0.21356	-0.00711	-0.04291
 2000-0-0 1:0:28.940	-0.0034	0.4175	0.9072	0.0	0.061	0.0	24.994	0.357	-4.977	30.56	None	None	None	None	None	None	None	0.97592	0.21356	-0.00711	-0.04288
 2000-0-0 1:0:28.960	-0.0049	0.417	0.9077	0.0	0.0	0.0	24.994	0.357	-4.977	30.58	None	None	None	None	None	None	None	0.97592	0.21359	-0.00711	-0.04288
 2000-0-0 1:0:28.980	-0.0054	0.4175	0.9062	0.0	0.0	0.0	24.999	0.357	-4.977	30.6	None	None	None	None	None	None	None	0.97589	0.21359	-0.00711	-0.04288
 2000-0-0 1:0:29.0	-0.0054	0.417	0.9048	0.0	0.0	0.0	24.999	0.357	-4.977	30.6	None	None	None	None	None	None	None	0.97589	0.21359	-0.00711	-0.04288
