Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 0:0:36.850	0.0244	0.2988	0.9531	-0.061	0.061	0.0	16.848	-1.307	0.802	31.41	None	None	None	None	None	None	None	0.98944	0.14383	-0.0112	0.0087
 2000-0-0 0:0:36.855	0.0244	0.2983	0.9512	-0.061	0.061	0.0	16.848	-1.307	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14383	-0.0112	0.0087
 2000-0-0 0:0:36.860	0.0244	0.2983	0.9512	-0.061	0.061	0.0	16.853	-1.307	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14386	-0.01117	0.0087
 2000-0-0 0:0:36.865	0.0244	0.2983	0.9512	-0.061	0.061	0.0	16.853	-1.307	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14386	-0.01117	0.0087
 2000-0-0 0:0:36.870	0.0244	0.2983	0.9512	-0.061	0.061	0.0	16.853	-1.307	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14386	-0.01117	0.0087
 2000-0-0 0:0:36.875	0.0239	0.2969	0.9502	-0.1831	0.0	0.0	16.853	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14389	-0.01117	0.0087
 2000-0-0 0:0:36.880	0.0239	0.2969	0.9502	-0.1831	0.0	0.0	16.853	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14389	-0.01117	0.0087
 2000-0-0 0:0:36.885	0.0239	0.2969	0.9502	-0.1831	0.0	0.0	16.859	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14389	-0.01117	0.0087
 2000-0-0 0:0:36.890	0.0239	0.2969	0.9502	-0.1831	0.0	0.0	16.859	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14389	-0.01114	0.0087
 2000-0-0 0:0:36.895	0.0234	0.2974	0.9526	-0.1831	0.0	0.0	16.859	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14389	-0.01114	0.0087
 2000-0-0 0:0:36.900	0.0234	0.2974	0.9526	-0.1831	0.0	0.0	16.859	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14389	-0.01114	0.0087
 2000-0-0 0:0:36.905	0.0234	0.2974	0.9526	-0.1831	0.0	0.0	16.859	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14392	-0.01114	0.0087
 2000-0-0 0:0:36.910	0.0234	0.2974	0.9526	-0.1831	0.0	0.0	16.859	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14392	-0.01114	0.0087
 2000-0-0 0:0:36.915	0.0234	0.2964	0.9541	-0.1831	0.0	0.0	16.859	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14392	-0.01114	0.0087
 2000-0-0 0:0:36.920	0.0234	0.2964	0.9541	-0.1831	0.0	0.0	16.859	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14392	-0.01114	0.0087
 2000-0-0 0:0:36.925	0.0234	0.2964	0.9541	-0.1831	0.0	0.0	16.859	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14392	-0.01114	0.0087
 2000-0-0 0:0:36.930	0.0234	0.2964	0.9541	-0.1831	0.0	0.0	16.859	-1.302	0.802	31.42	None	None	None	None	None	None	None	0.98944	0.14392	-0.01114	0.0087
 2000-0-0 0:0:36.935	0.0229	0.2974	0.9541	-0.1221	0.0	0.0	16.859	-1.302	0.802	31.43	None	None	None	None	None	None	None	0.98944	0.14392	-0.01114	0.0087
 2000-0-0 0:0:36.940	0.0229	0.2974	0.9541	-0.1221	0.0	0.0	16.864	-1.302	0.802	31.43	None	None	None	None	None	None	None	0.98944	0.14395	-0.01114	0.0087
 2000-0-0 0:0:36.945	0.0229	0.2974	0.9541	-0.1221	0.0	0.0	16.864	-1.302	0.802	31.43	None	None	None	None	None	None	None	0.98944	0.14395	-0.01114	0.0087
 2000-0-0 0:0:36.950	0.0229	0.2974	0.9541	-0.1221	0.0	0.0	16.864	-1.302	0.802	31.43	None	None	None	None	None	None	None	0.98944	0.14395	-0.01114	0.0087
 2000-0-0 0:0:36.955	0.0239	0.2983	0.9541	-0.061	0.0	0.0	16.864	-1.302	0.802	31.43	None	None	None	None	None	None	None	0.98944	0.14398	-0.01114	0.0087
 2000-0-0 0:0:36.960	0.0239	0.2983	0.9541	-0.061	0.0	0.0	16.87	-1.302	0.802	31.43	None	None	None	None	None	None	None	0.98944	0.14398	-0.01114	0.0087
 2000-0-0 0:0:36.965	0.0239	0.2983	0.9541	-0.061	0.0	0.0	16.87	-1.302	0.802	31.43	None	None	None	None	None	None	None	0.98944	0.14401	-0.01114	0.0087
 2000-0-0 0:0:36.970	0.0244	0.2993	0.9526	0.0	0.061	0.0	16.87	-1.302	0.802	31.41	None	None	None	None	None	None	None	0.98941	0.14404	-0.01114	0.0087
 2000-0-0 0:0:36.975	0.0244	0.2993	0.9526	0.0	0.061	0.0	16.875	-1.302	0.802	31.41	None	None	None	None	None	None	None	0.98941	0.14404	-0.01114	0.0087
 2000-0-0 0:0:36.980	0.0244	0.2993	0.9526	0.0	0.061	0.0	16.875	-1.302	0.802	31.41	None	None	None	None	None	None	None	0.98941	0.14407	-0.01111	0.0087
 2000-0-0 0:0:36.985	0.0244	0.2993	0.9526	0.0	0.061	0.0	16.88	-1.296	0.802	31.41	None	None	None	None	None	None	None	0.98941	0.1441	-0.01111	0.0087
 2000-0-0 0:0:36.990	0.0229	0.3003	0.9512	0.0	0.061	0.0	16.88	-1.296	0.802	31.43	None	None	None	None	None	None	None	0.98941	0.1441	-0.01111	0.0087
 2000-0-0 0:0:36.995	0.0229	0.3003	0.9512	0.0	0.061	0.0	16.886	-1.296	0.802	31.43	None	None	None	None	None	None	None	0.98941	0.14413	-0.01111	0.0087
 2000-0-0 0:0:37.0	0.0229	0.3003	0.9512	0.0	0.061	0.0	16.886	-1.296	0.802	31.43	None	None	None	None	None	None	None	0.98941	0.14413	-0.01108	0.0087
 2000-0-0 0:0:37.5	0.0229	0.3003	0.9512	0.0	0.061	0.0	16.886	-1.296	0.802	31.43	None	None	None	None	None	None	None	0.98941	0.14417	-0.01108	0.0087
 2000-0-0 0:0:37.10	0.0229	0.2993	0.9492	-0.1221	0.0	0.0	16.891	-1.296	0.802	31.4	None	None	None	None	None	None	None	0.98941	0.14417	-0.01108	0.0087
 2000-0-0 0:0:37.15	0.0229	0.2993	0.9492	-0.1221	0.0	0.0	16.891	-1.296	0.802	31.4	None	None	None	None	None	None	None	0.98941	0.1442	-0.01108	0.0087
 2000-0-0 0:0:37.20	0.0229	0.2993	0.9492	-0.1221	0.0	0.0	16.891	-1.296	0.802	31.4	None	None	None	None	None	None	None	0.98941	0.1442	-0.01108	0.0087
 2000-0-0 0:0:37.25	0.0229	0.2993	0.9492	-0.1221	0.0	0.0	16.891	-1.296	0.802	31.4	None	None	None	None	None	None	None	0.98941	0.1442	-0.01108	0.0087
 2000-0-0 0:0:37.30	0.0234	0.2988	0.9507	-0.1831	0.0	0.0	16.891	-1.296	0.802	31.4	None	None	None	None	None	None	None	0.98941	0.14423	-0.01108	0.0087
 2000-0-0 0:0:37.35	0.0234	0.2988	0.9507	-0.1831	0.0	0.0	16.891	-1.296	0.802	31.4	None	None	None	None	None	None	None	0.98941	0.14423	-0.01108	0.0087
 2000-0-0 0:0:37.40	0.0234	0.2988	0.9507	-0.1831	0.0	0.0	16.897	-1.296	0.802	31.4	None	None	None	None	None	None	None	0.98941	0.14423	-0.01108	0.0087
 2000-0-0 0:0:37.45	0.0234	0.2988	0.9507	-0.1831	0.0	0.0	16.897	-1.296	0.802	31.4	None	None	None	None	None	None	None	0.98941	0.14423	-0.01108	0.0087
 2000-0-0 0:0:37.50	0.0229	0.2979	0.9531	-0.2441	0.0	0.0	16.897	-1.296	0.802	31.46	None	None	None	None	None	None	None	0.98941	0.14423	-0.01108	0.0087
 2000-0-0 0:0:37.55	0.0229	0.2979	0.9531	-0.2441	0.0	0.0	16.891	-1.296	0.802	31.46	None	None	None	None	None	None	None	0.98941	0.14423	-0.01108	0.0087
 2000-0-0 0:0:37.60	0.0229	0.2979	0.9531	-0.2441	0.0	0.0	16.891	-1.296	0.802	31.46	None	None	None	None	None	None	None	0.98941	0.14423	-0.01108	0.0087
 2000-0-0 0:0:37.65	0.0229	0.2979	0.9531	-0.2441	0.0	0.0	16.891	-1.296	0.802	31.46	None	None	None	None	None	None	None	0.98941	0.14423	-0.01108	0.0087
 2000-0-0 0:0:37.70	0.0234	0.2979	0.9551	-0.2441	0.0	0.0	16.891	-1.296	0.802	31.42	None	None	None	None	None	None	None	0.98941	0.14423	-0.01108	0.0087
