Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 2:34:42.890	0.0454	-0.1079	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.81	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04785	0.548
 2000-0-0 2:34:42.900	0.0454	-0.1079	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.81	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04785	0.548
 2000-0-0 2:34:42.910	0.0464	-0.1064	0.9922	0.0	0.0	0.0	-5.839	-2.411	66.725	29.8	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04785	0.548
 2000-0-0 2:34:42.920	0.0464	-0.1064	0.9922	0.0	0.0	0.0	-5.839	-2.411	66.725	29.8	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04785	0.548
 2000-0-0 2:34:42.930	0.0474	-0.1064	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.85	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04785	0.548
 2000-0-0 2:34:42.940	0.0474	-0.1064	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.85	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04785	0.548
 2000-0-0 2:34:42.950	0.0459	-0.1064	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.86	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04785	0.548
 2000-0-0 2:34:42.960	0.0459	-0.1064	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.86	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04785	0.548
 2000-0-0 2:34:42.970	0.0459	-0.106	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.81	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04785	0.548
 2000-0-0 2:34:42.980	0.0459	-0.106	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.81	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:42.990	0.043	-0.1069	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.84	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.0	0.043	-0.1069	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.84	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.10	0.0415	-0.1079	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.8	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.20	0.0415	-0.1079	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.8	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.30	0.0415	-0.1079	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.86	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.40	0.0415	-0.1079	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.86	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.50	0.0415	-0.1074	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.89	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.60	0.0415	-0.1074	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.89	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.70	0.043	-0.1079	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.87	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.80	0.043	-0.1079	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.87	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.90	0.0439	-0.1069	0.9917	0.0	0.0	0.0	-5.839	-2.411	66.725	29.84	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.100	0.0439	-0.1069	0.9917	0.0	0.0	0.0	-5.839	-2.411	66.725	29.84	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.110	0.0454	-0.1069	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.86	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.120	0.0454	-0.1069	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.86	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.130	0.0464	-0.1069	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.86	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.140	0.0464	-0.1069	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.86	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.150	0.0454	-0.1064	0.9927	0.0	0.0	0.0	-5.839	-2.411	66.725	29.85	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.160	0.0454	-0.1064	0.9927	0.0	0.0	0.0	-5.839	-2.411	66.725	29.85	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.170	0.0449	-0.1069	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.85	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.180	0.0449	-0.1069	0.9937	0.0	0.0	0.0	-5.839	-2.411	66.725	29.85	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.190	0.043	-0.1074	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.88	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.200	0.043	-0.1074	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.88	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.210	0.0425	-0.1079	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.85	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.220	0.0425	-0.1079	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.85	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.230	0.042	-0.1074	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.86	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.240	0.042	-0.1074	0.9932	0.0	0.0	0.0	-5.839	-2.411	66.725	29.86	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.250	0.0415	-0.106	0.9927	0.0	0.0	0.0	-5.839	-2.411	66.725	29.82	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.260	0.0415	-0.106	0.9927	0.0	0.0	0.0	-5.839	-2.411	66.725	29.82	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.270	0.043	-0.1055	0.9927	0.0	0.0	0.0	-5.839	-2.411	66.725	29.85	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
 2000-0-0 2:34:43.280	0.043	-0.1055	0.9927	0.0	0.0	0.0	-5.839	-2.411	66.725	29.85	None	None	None	None	None	None	None	0.83438	-0.03278	-0.04788	0.548
