count,T_count,sum_leg,reflex,on_reflex_,reflex_index,traj_error
26,0,[19. 11. 13. 62. 44. 12.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  3.  2. -3.  0.  0.  3.  0.  0.  3. 12.  0. -7.  2. -2. -2.  0.  0.]
27,0,[20. 11. 13. 60. 44. 11.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  2.  2. -3. -1.  0.  4.  0.  0.  1. 12. -1. -6.  1. -2. -3. -1.  0.]
28,0,[19. 12. 14. 58. 42. 12.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 1.  3.  2. -1.  0.  0.  1.  0.  1. -2. 12.  0. -4.  2. -2. -1.  0. -1.]
29,0,[19. 10. 11. 48. 39. 10.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  2.  2. -2.  0.  1.  2.  0.  1.  0. 12.  0. -5.  2. -3. -1.  0.  0.]
30,0,[18.  9. 10. 48. 38.  7.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  3.  2. -2. -1.  0.  2. -1.  0. -1. 12.  0. -3.  2. -2. -2.  0.  0.]
31,0,[18.  8.  9. 48. 34.  7.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  1.  2. -2.  0. -1.  2.  0.  1. -1. 12.  0. -4.  1. -2. -1.  0.  0.]
32,0,[17.  7.  7. 48. 32.  5.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  2.  2. -2.  0.  0.  3.  0.  1.  0. 11.  0. -4.  1. -2. -1.  0.  0.]
33,0,[16.  8.  9. 47. 31.  5.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  2.  2. -3.  0.  1.  3. -1.  1. -1. 11.  0. -3.  1. -2. -1.  0.  0.]
34,0,[16.  9. 10. 46. 27.  5.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  2.  2. -2. -1.  0.  4. -1.  1.  0. 12. -1. -4.  2. -2. -1. -1.  0.]
35,0,[15.  9. 16. 46. 28.  4.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  2.  2. -3.  0.  1.  3.  0.  0.  1. 11.  0. -3.  1. -1. -3.  0.  0.]
36,0,[16. 10. 13. 45. 26.  6.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  2.  1. -3.  0.  1.  4.  0.  1.  2. 11.  0. -4.  2. -2. -2.  0.  0.]
37,0,[19. 11. 14. 45. 27.  7.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2.  1. -3.  0.  1.  3. -1.  0.  1. 12.  0. -4.  1. -1. -3. -1.  1.]
38,0,[19. 11. 14. 46. 27.  9.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2.  1. -2.  0.  2.  3. -1.  0.  2. 12.  0. -5.  1. -2. -3. -1.  0.]
39,0,[19. 16. 13. 52. 27. 11.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  2.  3. -3. -1.  1.  3.  0.  1.  1. 12.  0. -5.  2. -2. -3.  0.  0.]
40,0,[22. 16. 13. 53. 31. 11.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2.  2. -2.  0.  1.  4.  0.  0.  1. 11.  0. -4.  2. -2. -5.  0.  0.]
41,0,[24. 15. 13. 52. 31. 14.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  2.  3. -3. -1.  1.  3. -1.  0.  1. 12. -1. -4.  1. -3. -6. -2.  0.]
42,0,[27. 15. 13. 52. 33. 17.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  2.  3. -3. -1.  0.  3. -1.  1.  3. 12. -1. -4.  1. -2. -5. -1.  0.]
43,0,[29. 11. 13. 53. 32. 19.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  2.  3. -3.  0.  1.  3.  0.  1.  2. 11. -1. -5.  2. -1. -4. -1.  0.]
