count,T_count,sum_leg,reflex,on_reflex_,reflex_index,traj_error
333,1,[ 6. 19. 34. 27. 28. 20.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  1.  1.  4. -1.  0. -1. -6.  3. -3. -2.  2.  2. -2.  2.  0. -4.  1.]
334,1,[ 5. 19. 34. 28. 26. 20.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  2.  0.  4. -1.  0.  0. -5.  2. -2. -1.  3.  2. -3.  1.  0. -4.  0.]
335,1,[ 0. 20. 33. 27. 25. 16.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  2.  0.  4. -1. -1.  0. -6.  3. -2. -2.  3.  2. -2.  2. -2. -4.  1.]
336,1,[ 0. 21. 33. 28. 24. 16.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  2.  0.  4.  1. -1.  1. -6.  3. -2. -2.  2.  2. -2.  2. -1. -3.  1.]
337,1,[ 7. 16. 34. 26. 24. 15.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  3. -1.  3.  0. -1.  0. -6.  3. -2. -2.  2.  2. -4.  2. -1. -4.  1.]
338,1,[ 9. 15. 34. 25. 26. 15.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -1.  3.  1. -1.  2. -6.  3. -1. -2.  2.  2. -3.  1. -1. -4.  1.]
339,1,[10. 18. 36. 24. 26. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -1.  2.  0. -2.  1. -6.  3. -1. -1.  1.  1. -3.  2. -1. -5.  1.]
340,1,[11. 17. 36. 20. 26. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -2.  2.  1. -1.  1. -6.  2. -1. -2.  0.  2. -2.  1. -1. -4.  1.]
341,1,[17. 15. 35. 12. 25. 25.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -3.  3.  1. -1.  2. -6.  2.  0. -1.  0.  1. -2.  3. -1. -4.  0.]
342,1,[23. 15. 40.  6. 23. 21.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  4. -2.  2.  1. -1.  1. -5.  2. -2.  0.  1.  1. -3.  4. -2. -4.  1.]
343,1,[25. 14. 37.  0. 25. 22.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  3. -2.  3.  1. -1.  1. -5.  2. -1. -1.  1.  1. -4.  3. -2. -4.  0.]
344,1,[22. 18. 35.  0. 27. 22.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  4. -2.  3.  1. -2.  2. -6.  2. -2. -1.  1.  1. -3.  3. -2. -4.  1.]
345,1,[23. 20. 36.  0. 29. 23.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  4. -3.  2.  1. -1.  2. -5.  2.  0. -1.  2.  1. -3.  2. -1. -4.  1.]
346,1,[24. 19. 35.  5. 29. 23.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -3.  3.  1. -1.  2. -5.  3.  0. -2.  1.  1. -3.  2. -3. -4.  1.]
347,1,[26. 20. 37. 10. 27. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  4. -3.  3.  0. -1.  1. -6.  2.  0. -1.  1.  0. -3.  2. -2. -4.  1.]
348,1,[34. 16. 38. 10. 21. 28.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -4.  3.  1. -1.  1. -5.  1.  0. -1.  1.  1. -3.  1. -1. -4.  0.]
349,1,[37. 15. 35. 10. 19. 23.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -3.  3.  0. -1.  1. -4.  1.  1. -1.  2.  1. -2.  2. -2. -4.  1.]
350,1,[38. 16. 32. 10. 18. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -3.  3.  1. -2.  1. -5.  1. -1. -1.  2.  1. -3.  2. -1. -4.  0.]
351,1,[37. 17. 29. 10. 18. 22.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -4.  3.  0. -1.  0. -5.  2.  0. -1.  1.  2. -3.  3. -2. -5.  0.]
352,1,[39. 17. 24. 10. 24. 23.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  4. -3.  3.  0. -1.  0. -4.  2.  0. -1.  2.  2. -3.  1. -2. -4.  0.]
353,1,[38. 17. 24. 11. 25. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -3.  2.  0. -1.  0. -4.  1.  0. -1.  0.  1. -3.  2. -2. -4.  1.]
354,1,[38. 16. 24.  4. 26. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  7. -3.  2.  0. -2.  0. -3.  0.  0. -1.  1.  2. -3.  2. -2. -4.  0.]
355,1,[40. 15. 16.  4. 27. 25.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  7. -4.  3.  0. -2.  0. -3.  0.  0. -1.  1.  1. -3.  2. -2. -4.  1.]
356,1,[43. 16. 14.  4. 25. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  6. -3.  2.  0. -1.  1. -3.  0.  0. -2.  1.  1. -3.  3. -2. -4.  1.]
357,1,[44. 15. 13.  5. 26. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -3.  3.  0. -1.  0. -3.  0.  0. -1.  0.  1. -3.  2. -2. -4.  1.]
358,1,[43. 16. 12.  5. 26. 24.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  5. -4.  2.  0. -1.  0. -2. -1.  0.  0.  1.  1. -3.  2. -3. -4.  0.]
359,1,[37. 15. 11.  0. 25. 25.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  7. -5.  3.  0. -2.  0.  0. -1.  0.  1. -1.  0. -2.  1. -3. -5.  1.]
360,1,[38. 15.  0.  0. 19. 27.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -4.  3.  0. -1. -1. -1. -1.  1.  0.  0.  1. -3.  2. -2. -4.  0.]
361,1,[38. 16.  0.  0. 18. 27.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  4. -3.  3.  0. -2.  0. -2. -1.  1.  0.  0.  1. -3.  1. -2. -4.  0.]
362,1,[37. 17.  4.  0. 17. 27.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  4. -3.  3.  0. -2.  0. -1. -1.  0.  1. -1.  1. -2.  2. -3. -4. -1.]
363,1,[39. 19.  4.  0. 16. 27.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -4.  3.  0. -1.  0. -1. -1.  1.  1. -2.  1. -1.  1. -3. -3. -1.]
364,1,[36. 18.  9.  0. 19. 25.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -4.  4.  1. -1.  0. -1. -2. -1.  2. -1.  0. -2.  0. -3. -3. -1.]
365,1,[36. 19. 10.  0.  8. 25.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  7. -4.  2.  1. -2.  0. -1. -2.  0.  2. -2.  0. -1. -1. -3. -2. -1.]
366,1,[36. 18. 10. 12.  6. 28.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  6. -4.  3.  1. -1.  1.  0. -2.  0.  2. -2.  0. -1.  0. -3. -2. -1.]
367,1,[39. 17.  7. 14.  5. 26.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  6. -5.  3.  1. -2.  1. -1. -1.  0.  2. -2.  0. -1.  0. -2. -1.  0.]
368,1,[41. 22.  7. 15.  5. 19.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  6. -4.  3.  1. -2.  0.  1. -1.  0.  2. -2.  1. -1.  0. -2. -1.  0.]
369,1,[42. 22.  6. 16.  4. 16.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  8. -5.  3.  1. -2.  0.  0. -1.  0.  2. -2.  1. -1. -1. -3. -1.  0.]
370,1,[44. 23.  5. 16.  4. 15.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  6. -6.  3.  0. -1.  1.  0. -2.  0.  2. -2.  0. -1. -2. -2.  0. -1.]
371,1,[46. 19.  5. 16.  4.  9.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  7. -5.  2.  2. -2.  0.  1. -1.  0.  2. -2.  0.  0. -1. -3.  0.  0.]
372,1,[51. 18.  5. 16.  0. 10.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  6. -5.  2.  2. -1.  0.  1. -2.  1.  1. -2.  0.  0. -1. -2.  1.  0.]
373,1,[48. 16.  6. 15.  5. 10.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  6. -5.  3.  2. -2.  0.  1. -2.  1.  2. -2.  0.  0.  0. -2.  0.  1.]
374,1,[46. 16.  7. 15.  0.  9.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  6. -5.  2.  1. -2.  1.  2. -1.  1.  2. -2.  0.  1.  0. -2.  1.  0.]
375,1,[45. 23. 11. 15.  0.  9.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  6. -4.  3.  0. -2.  0.  1. -2.  1.  2. -2.  0.  0. -1. -3.  0.  0.]
376,1,[43. 17. 12. 19.  0.  9.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -4.  2. -1. -1.  1.  1. -2.  1.  2. -2.  0.  1.  0. -2.  1.  0.]
377,1,[41. 17. 12. 20.  0.  9.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  6. -5.  2. -1.  0.  0.  1. -1.  0.  1. -1.  0. -1.  0. -1.  0.  1.]
378,1,[41.  9. 11. 14.  0.  8.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  6. -5.  2. -2. -1.  1.  2. -1.  1.  2. -2.  1.  0.  1. -2.  0.  1.]
379,1,[41.  9. 11. 14.  0.  8.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  6. -5.  1. -3. -1.  0.  1. -2.  1.  2. -2.  1. -1.  2. -3.  1.  0.]
380,1,[42. 14. 11. 14.  0.  8.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -4.  1. -2. -1.  0.  1. -2.  0.  2. -2.  0.  0.  1. -3.  1.  0.]
381,1,[42. 14. 11. 14.  0.  9.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  6. -4. -1. -2. -1.  1.  1. -1.  0.  2. -2.  0.  0.  2. -2.  1.  0.]
382,1,[41. 13. 11. 16.  6. 10.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -4. -1.  0. -2.  0.  1. -1.  0.  2. -2.  0.  1.  2. -1.  1.  0.]
383,1,[45.  5. 10. 16.  7. 13.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  6. -4. -1.  1. -1.  1.  1. -2.  0.  2. -2. -1.  0.  1. -1.  1.  0.]
384,1,[46.  5. 10. 16.  6. 11.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -5. -1.  2. -2.  0.  2. -2.  0.  1. -1. -1. -1.  2. -2.  1. -1.]
385,1,[48. 10. 11. 14.  7. 10.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -4. -2.  2. -1.  0.  2. -1.  1.  2. -2. -1.  0.  2. -2.  2.  0.]
386,1,[46. 11. 12. 14.  7. 11.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  6. -4. -2.  2. -1.  1.  2. -2.  0.  1. -2. -2.  1.  1. -2.  2.  0.]
387,1,[39. 18. 14. 13. 11. 13.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  6. -5. -1.  4. -1.  1.  2. -2.  2.  1. -1. -1. -1.  1. -2.  1. -1.]
388,1,[40. 21. 15. 11. 11. 14.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -5. -1.  2. -2.  1.  1. -2.  3.  1. -2. -1. -1.  1. -3.  2. -1.]
389,1,[40. 21. 14. 12. 10. 16.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  5. -5. -1.  2. -2.  0.  2. -2.  2.  2. -2. -1. -1.  2. -2.  1. -1.]
390,1,[41. 21. 15. 12. 10. 15.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -4.  0.  2. -1.  0.  2. -2.  2.  2. -1. -1. -1.  0. -1.  1. -1.]
391,1,[45. 16. 15. 21.  8. 17.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -4.  0.  2. -2.  2.  1. -2.  2.  1. -2. -1. -1.  1. -1.  1. -2.]
392,1,[44. 15. 14. 22.  8. 17.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  4. -3.  0.  2. -2.  1.  2. -1.  3.  1. -1. -1. -1.  1.  0.  1. -2.]
393,1,[42. 15. 14. 21.  8. 10.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  3. -3.  0.  2. -1.  1.  2. -2.  3.  2. -2. -1.  0.  1.  0.  2.  0.]
394,1,[39. 14. 14. 22.  4.  5.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  4. -3.  0.  2. -2.  2.  1. -1.  3.  1. -1. -1. -1.  0. -1.  2.  0.]
395,1,[36. 15. 18. 22.  4.  6.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  3. -4.  0.  1. -1.  1.  1. -1.  3.  2. -2. -1.  0.  0.  0.  2. -1.]
396,1,[34. 13. 16. 24.  4.  7.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -3.  1.  2. -1.  1.  2. -2.  1.  2. -2. -1.  0.  0.  0.  1. -1.]
397,1,[32. 12. 17. 24.  4.  7.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -4.  0.  1. -2.  1.  1. -2.  1.  2. -1. -1. -1.  1. -1.  1.  0.]
398,1,[32. 12. 16. 21.  4.  6.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  2. -3.  0.  2. -2.  2.  2. -1.  1.  2. -2.  0.  0.  0. -1.  2.  0.]
399,1,[30. 12. 17. 21.  0.  6.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  2. -3.  1.  2. -1.  1.  2. -1.  0.  2. -2.  0. -1.  1. -1.  1.  0.]
400,1,[23. 13. 18. 15.  0.  5.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -3.  1.  2. -1.  1.  1. -2.  0.  2. -2.  0. -1.  1. -2.  1. -1.]
401,1,[23. 13. 17. 15.  0. 10.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -3.  0.  2. -2.  2.  1. -2. -1.  2. -2.  0. -1.  1. -1.  2.  0.]
402,1,[22. 14. 18. 16.  0. 11.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  4. -3.  1.  3. -3.  1.  1. -1.  0.  2. -2.  0. -1.  1. -2.  1.  0.]
403,1,[24. 16. 16. 16.  8. 11.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  5. -3.  2.  1. -1.  0.  0.  0. -2.  2. -2.  2. -1.  1.  0.  0.  1.]
404,1,[27. 15.  0. 16.  8.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  4. -3.  1.  2. -1.  1.  1. -1. -2.  2. -2.  1.  0.  1.  0.  0.  0.]
405,1,[28. 15.  0. 16.  4.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[ 0.  4. -3.  0.  0. -1.  1.  1.  0. -2.  2. -2.  2. -1.  1. -1.  0.  0.]
406,1,[29.  6.  0. 16.  4.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  3. -3.  1.  1. -1.  1.  0. -1. -1.  2. -2.  1.  0.  1.  0.  3.  0.]
407,1,[28.  4.  0. 23. 10.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  4. -2.  1.  2. -1.  1.  1. -2.  0.  2. -2.  1. -1.  1. -1.  3.  0.]
408,1,[26.  4.  4. 16.  9.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  4. -2.  1.  2. -1.  2.  2. -1.  0.  2. -2.  1.  0.  1.  0.  2.  0.]
409,1,[25.  4.  5. 16.  9.  0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  4. -2.  1.  1. -1.  1.  1. -1.  0.  2. -2.  2.  0.  1.  0.  1.  0.]
410,1,[30. 14. 10. 16.  9.  9.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -2.  1.  2. -2.  1.  1. -2.  0.  2. -2.  1. -1.  1. -2.  1. -1.]
411,1,[32. 16. 16. 16.  9.  7.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  4. -2.  1.  1. -1.  2.  2. -2.  1.  2. -2.  2.  0.  2. -1.  2. -1.]
412,1,[32. 15. 18. 16. 11.  6.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  4. -2.  2.  1. -2.  1.  2. -2.  1.  2. -2.  0.  0.  2. -3.  1. -1.]
413,1,[32. 16. 18. 16.  6.  5.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  3. -2.  3.  2. -2.  2.  2. -2.  1.  2. -2.  1. -1.  2. -2.  3. -1.]
414,1,[33. 20. 21. 16.  7. 19.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  4. -3.  3.  1. -2.  2.  1. -2.  0.  2. -2.  0. -1.  2. -1.  1. -2.]
415,1,[33. 21. 22. 16.  8. 19.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  4. -3.  4.  1. -3.  3.  2. -2.  1.  2. -3.  1.  0.  3. -4.  2. -1.]
416,1,[34. 26. 23. 17.  9. 22.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  4. -3.  5.  1. -3.  2.  2. -1.  0.  2. -3.  0.  0.  3. -2.  2. -1.]
417,1,[36. 30. 23. 18. 10. 22.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  4. -3.  5.  2. -2.  1.  2. -1. -1.  2. -3. -1. -1.  3. -2.  1. -1.]
418,1,[38. 32. 21. 19. 11. 20.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -3.  5.  1. -2.  2.  1. -1. -1.  2. -3. -1. -1.  3. -2.  2. -1.]
419,1,[39. 34. 20. 20. 12. 21.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -4.  6.  1. -2.  2.  2. -2. -1.  2. -3.  0. -1.  4. -2.  2. -1.]
420,1,[41. 35. 19. 20. 13. 19.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  4. -4.  7.  0. -2.  2.  1. -2. -1.  2. -4. -1. -1.  4. -3.  1. -1.]
421,1,[41. 31. 19. 25. 18. 19.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  6. -4.  7.  0. -2.  2.  2. -1. -2.  2. -4.  0.  0.  4. -2.  1.  0.]
422,1,[43. 33. 20. 27. 15. 15.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  6. -4.  7.  0. -2.  2.  1. -2. -3.  2. -4.  0.  0.  4. -2.  1. -1.]
423,1,[45. 35. 21. 30. 16. 14.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  6. -5.  8.  1. -1.  2.  1. -2. -2.  2. -4. -1.  0.  4. -1.  2.  0.]
424,1,[47. 36. 20. 32. 16. 13.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-3.  6. -5.  9.  1. -1.  2.  1.  0. -4.  2. -5.  1. -1.  4. -2.  1. -1.]
425,1,[51. 37. 13. 36. 16. 12.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -5. 10.  0. -1.  2.  1. -1. -5.  2. -5.  0. -1.  4. -1.  1. -1.]
426,1,[51. 39. 12. 40. 16. 11.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -5. 11.  0. -1.  2.  2. -1. -4.  2. -6.  2.  0.  3. -3.  1.  0.]
427,1,[51. 42. 13. 43. 15. 12.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -5. 11.  0. -2.  2.  1. -1. -4.  2. -6.  1. -1.  3. -3.  1.  0.]
428,1,[50. 46. 13. 47. 14. 13.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -5. 12.  0. -1.  2.  1. -1. -4.  2. -6.  1. -1.  3. -2.  1. -1.]
429,1,[48. 49. 17. 48. 13. 13.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  6. -5. 13. -1. -2.  3.  2. -1. -5.  2. -6.  1. -1.  3. -2.  1.  0.]
430,1,[49. 53. 19. 49. 17. 14.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-1.  6. -5. 14.  0. -1.  2.  1. -1. -6.  3. -6.  1. -1.  2. -2.  1.  0.]
431,1,[49. 56. 18. 52. 19. 13.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],[-2.  5. -5. 12. -1. -1.  2.  1.  0. -7.  2. -6.  2. -1.  3. -2.  1.  1.]
