Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 0:2:4.900	-0.5298	-0.1421	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.54	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:4.920	-0.5308	-0.1421	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.55	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:4.940	-0.5298	-0.1421	0.8345	0.0	0.0	0.0	-9.344	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:4.960	-0.5303	-0.1416	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:4.980	-0.5298	-0.1421	0.8345	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.0	-0.5303	-0.1421	0.8354	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.20	-0.5303	-0.1416	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.57	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.40	-0.5298	-0.1416	0.835	0.0	0.0	0.0	-9.344	32.146	-3.093	28.6	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.60	-0.5303	-0.1416	0.835	0.0	0.0	0.0	-9.338	32.146	-3.093	28.56	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
 2000-0-0 0:2:5.80	-0.5293	-0.1426	0.8345	0.0	0.0	0.0	-9.338	32.146	-3.093	28.58	None	None	None	None	None	None	None	0.95798	-0.07349	0.2771	-0.00262
