count,T_count,sum_leg,reflex_sim,reflex_stance_sim,on_reflex2,on_reflex_stance2,reflex_index2,reflex_index_stance2,swing_step_count,flat_cpg_tick,position_Read_tick,IMU_data
108,0,[1585. 2965.  177.  557.    0.    0.],[1. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[  0. -10. -10. -10.   0. -10.],[-10. -10. -10. -10. -10. -10.],1,"[2039. 2115. 1056. 2042. 2246.  916. 2053. 2230.  928. 2056. 2115. 1055.
 2039. 2115. 1057. 2039. 2238.  919.]","[2440. 2568. 1387. 2787. 3522. 1490. 2005. 2503. 1161. 1912. 2709. 1241.
 1563. 2710. 1710. 1840. 2882. 1462.]",[0. 0. 0.],"[ -401.  -453.  -331.  -745. -1276.  -574.    48.  -273.  -233.   144.
  -594.  -186.   476.  -595.  -653.   199.  -644.  -543.]",1,[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.]
108,0,[   0. 2977.  188.    0.    0.    0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[  0. -10. -10. -10.   0. -10.],[-10. -10. -10. -10. -10. -10.],2,"[2334. 2452. 1271. 2037. 2246.  915. 2057. 2229.  928. 2002. 2594. 1141.
 2034. 2115. 1057. 2036. 2238.  919.]","[2440. 2567. 1387. 2787. 3522. 1490. 2005. 2504. 1161. 1912. 2708. 1242.
 1563. 2710. 1710. 1840. 2882. 1462.]",[0. 0. 0.],"[ -106.  -115.  -116.  -750. -1276.  -575.    52.  -275.  -233.    90.
  -114.  -101.   471.  -595.  -653.   196.  -644.  -543.]",2,[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.]
108,0,[   0. 2993.  203.    0.    0.    0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[  0. -10. -10. -10.   0. -10.],[-10. -10. -10. -10. -10. -10.],3,"[2217. 2336. 1159. 2032. 2246.  915. 2062. 2229.  928. 2050. 2477. 1093.
 2029. 2115. 1057. 2031. 2238.  920.]","[2440. 2568. 1387. 2787. 3522. 1490. 2004. 2504. 1161. 1912. 2708. 1242.
 1563. 2710. 1711. 1840. 2882. 1462.]",[0. 0. 0.],"[ -223.  -232.  -228.  -755. -1276.  -575.    58.  -275.  -233.   138.
  -231.  -149.   466.  -595.  -654.   191.  -644.  -542.]",3,[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.]
108,0,[   0. 3011.  220.  532.    0.    0.],[0. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[  0. -10. -10. -10.   0. -10.],[-10. -10. -10. -10. -10. -10.],4,"[2106. 2223. 1101. 2026. 2246.  916. 2067. 2229.  928. 2072. 2361. 1073.
 2024. 2115. 1057. 2025. 2238.  919.]","[2440. 2567. 1387. 2787. 3522. 1490. 2005. 2503. 1161. 1912. 2709. 1241.
 1563. 2710. 1710. 1840. 2882. 1462.]",[0. 0. 0.],"[ -334.  -344.  -286.  -761. -1276.  -574.    62.  -274.  -233.   160.
  -348.  -168.   461.  -595.  -653.   185.  -644.  -543.]",4,[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.]
108,0,[3098. 3033.  241. 2312.    0.    0.],[1. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[  0. -10. -10. -10.   0. -10.],[-10. -10. -10. -10. -10. -10.],5,"[2044. 2161. 1075. 2020. 2246.  915. 2074. 2229.  928. 2084. 2245. 1064.
 2017. 2115. 1057. 2016. 2238.  919.]","[2440. 2567. 1387. 2787. 3522. 1490. 2005. 2503. 1161. 1912. 2709. 1241.
 1563. 2709. 1710. 1840. 2882. 1462.]",[0. 0. 0.],"[ -396.  -406.  -312.  -767. -1276.  -575.    69.  -274.  -233.   172.
  -464.  -177.   454.  -594.  -653.   176.  -644.  -543.]",5,[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.]
108,0,[3939. 3054.  264. 2909.    0.    0.],[1. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[  0. -10. -10. -10.   0. -10.],[-10. -10. -10. -10. -10. -10.],6,"[2016. 2136. 1063. 2016. 2246.  916. 2079. 2229.  928. 2093. 2170. 1059.
 2013. 2115. 1056. 2011. 2237.  919.]","[2439. 2567. 1387. 2787. 3522. 1490. 2004. 2503. 1161. 1912. 2709. 1241.
 1563. 2710. 1710. 1840. 2882. 1462.]",[0. 0. 0.],"[ -423.  -431.  -324.  -771. -1276.  -574.    75.  -274.  -233.   181.
  -539.  -182.   450.  -595.  -654.   171.  -645.  -543.]",6,[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.]
108,0,[4466. 3076.  285. 3332. 2615.    0.],[1. 0. 1. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[  0. -10.   0. -10.   0. -10.],[-10. -10. -10. -10. -10. -10.],7,"[2001. 2126. 1057. 2010. 2246.  916. 2084. 2229.  928. 2099. 2140. 1056.
 2007. 2116. 1055. 2003. 2238.  919.]","[2440. 2567. 1387. 2787. 3522. 1490. 2005. 2504. 1162. 1912. 2709. 1241.
 1563. 2710. 1710. 1840. 2882. 1462.]",[0. 0. 0.],"[ -439.  -441.  -330.  -777. -1276.  -574.    79.  -275.  -234.   187.
  -569.  -185.   444.  -594.  -655.   163.  -644.  -543.]",7,[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.]
108,0,[   0. 3097.  308.    0.    0.    0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[  0. -10.   0. -10.   0. -10.],[-10. -10. -10. -10. -10. -10.],8,"[2334. 2451. 1271. 2005. 2246.  916. 2090. 2229.  929. 2014. 2594. 1140.
 1665. 2594. 1593. 1998. 2238.  919.]","[2440. 2567. 1387. 2787. 3522. 1490. 2005. 2504. 1161. 1912. 2709. 1241.
 1563. 2709. 1710. 1840. 2882. 1462.]",[0. 0. 0.],"[ -106.  -116.  -116.  -782. -1276.  -574.    85.  -275.  -232.   102.
  -115.  -101.   102.  -115.  -117.   158.  -644.  -543.]",8,[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.]
108,0,[   0. 3119.  330.    0.    0.    0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[  0. -10.   0. -10.   0. -10.],[-10. -10. -10. -10. -10. -10.],9,"[2217. 2335. 1158. 1998. 2246.  916. 2096. 2229.  929. 2074. 2477. 1090.
 1781. 2478. 1477. 1992. 2238.  919.]","[2440. 2567. 1387. 2787. 3522. 1490. 2005. 2503. 1161. 1912. 2709. 1241.
 1563. 2710. 1710. 1840. 2882. 1462.]",[0. 0. 0.],"[ -223.  -232.  -229.  -789. -1276.  -574.    91.  -274.  -232.   162.
  -232.  -151.   218.  -232.  -233.   152.  -644.  -543.]",9,[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.]
108,0,[   0. 3142.  352.  641.    0.    0.],[0. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[  0. -10.   0. -10.   0. -10.],[-10. -10. -10. -10. -10. -10.],10,"[2101. 2223. 1097. 1993. 2246.  916. 2102. 2229.  929. 2102. 2361. 1068.
 1889. 2362. 1361. 1987. 2238.  920.]","[2439. 2568. 1387. 2787. 3522. 1490. 2005. 2503. 1161. 1912. 2709. 1242.
 1563. 2709. 1710. 1840. 2882. 1462.]",[0. 0. 0.],"[ -338.  -345.  -290.  -794. -1276.  -574.    97.  -274.  -232.   190.
  -348.  -174.   326.  -347.  -349.   147.  -644.  -542.]",10,[1.37351817 3.         1.41476908 2.97505459 1.78384644 3.        ],[0. 0. 0. 0. 0. 0.]
