Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 2:43:25.20	-0.0508	-0.0493	0.9956	0.0	0.0	0.0	-2.466	3.027	106.974	34.41	None	None	None	None	None	None	None	0.59409	-0.03497	-0.00433	0.80356
 2000-0-0 2:43:25.40	-0.0508	-0.0493	0.9951	0.0	0.0	0.0	-2.466	3.027	106.974	34.48	None	None	None	None	None	None	None	0.59409	-0.03497	-0.00433	0.80356
 2000-0-0 2:43:25.60	-0.0508	-0.0488	0.9951	0.0	0.0	0.0	-2.466	3.027	106.974	34.48	None	None	None	None	None	None	None	0.59409	-0.03497	-0.00433	0.80356
 2000-0-0 2:43:25.80	-0.0508	-0.0479	0.9951	0.0	0.0	0.0	-2.466	3.027	106.974	34.46	None	None	None	None	None	None	None	0.59409	-0.03497	-0.00433	0.80356
 2000-0-0 2:43:25.100	-0.0518	-0.0464	0.9951	0.0	0.0	0.0	-2.466	3.027	106.974	34.44	None	None	None	None	None	None	None	0.59409	-0.03497	-0.00433	0.80356
 2000-0-0 2:43:25.120	-0.0522	-0.0469	0.9941	0.0	0.0	0.0	-2.466	3.032	106.974	34.5	None	None	None	None	None	None	None	0.59409	-0.03497	-0.00433	0.80356
 2000-0-0 2:43:25.140	-0.0518	-0.0479	0.9951	0.0	0.0	0.0	-2.466	3.032	106.974	34.48	None	None	None	None	None	None	None	0.59409	-0.03497	-0.00433	0.80356
 2000-0-0 2:43:25.160	-0.0513	-0.0493	0.9946	0.0	0.0	0.0	-2.466	3.032	106.974	34.44	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.180	-0.0508	-0.0498	0.9956	0.0	0.0	0.0	-2.466	3.032	106.974	34.45	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.200	-0.0503	-0.0498	0.9951	0.0	0.0	0.0	-2.466	3.032	106.974	34.43	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.220	-0.0503	-0.0483	0.9956	0.0	0.0	0.0	-2.466	3.032	106.974	34.49	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.240	-0.0508	-0.0469	0.9956	0.0	0.0	0.0	-2.466	3.032	106.974	34.43	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.260	-0.0522	-0.0464	0.9951	0.0	0.0	0.0	-2.466	3.032	106.974	34.49	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.280	-0.0518	-0.0474	0.9951	0.0	0.0	0.0	-2.466	3.032	106.974	34.48	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.300	-0.0522	-0.0488	0.9951	0.0	0.0	0.0	-2.466	3.032	106.974	34.46	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.320	-0.0518	-0.0503	0.9951	0.0	0.0	0.0	-2.466	3.032	106.974	34.47	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.340	-0.0513	-0.0498	0.9946	0.0	0.0	0.0	-2.466	3.032	106.974	34.46	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.360	-0.0513	-0.0483	0.9951	0.0	0.0	0.0	-2.466	3.032	106.974	34.45	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.380	-0.0508	-0.0479	0.9956	0.0	0.0	0.0	-2.466	3.032	106.974	34.45	None	None	None	None	None	None	None	0.59409	-0.035	-0.00433	0.80356
 2000-0-0 2:43:25.400	-0.0508	-0.0474	0.9956	0.0	0.0	0.0	-2.466	3.032	106.974	34.44	None	None	None	None	None	None	None	0.59409	-0.035	-0.0043	0.80356
 2000-0-0 2:43:25.420	-0.0508	-0.0479	0.9951	0.0	0.0	0.0	-2.466	3.032	106.974	34.5	None	None	None	None	None	None	None	0.59409	-0.035	-0.0043	0.80356
 2000-0-0 2:43:25.440	-0.0513	-0.0488	0.9951	0.0	0.0	0.0	-2.466	3.032	106.974	34.44	None	None	None	None	None	None	None	0.59409	-0.03503	-0.0043	0.80356
 2000-0-0 2:43:25.460	-0.0522	-0.0488	0.9946	0.0	0.0	0.0	-2.466	3.032	106.974	34.49	None	None	None	None	None	None	None	0.59409	-0.03503	-0.0043	0.80356
 2000-0-0 2:43:25.480	-0.0522	-0.0493	0.9941	0.0	0.0	0.0	-2.466	3.038	106.974	34.5	None	None	None	None	None	None	None	0.59409	-0.03503	-0.0043	0.80356
 2000-0-0 2:43:25.500	-0.0513	-0.0493	0.9956	0.0	0.0	0.0	-2.466	3.038	106.974	34.47	None	None	None	None	None	None	None	0.59409	-0.03503	-0.0043	0.80356
