count,T_count,sum_leg,reflex,on_reflex_,reflex_index,traj_error
4,0,[16.  9.  9. 34. 45.  5.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[ 0.  2.  0. -2.  1. -1.  2.  1. -1.  1.  0.  7. -2. -5.  6. -1.  1. -1.]
5,0,[ 8.  9.  9. 34. 45.  4.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[-2.  2.  0. -3.  1. -1.  2.  1. -2.  1.  0.  7. -1. -5.  6. -2.  0. -2.]
6,0,[ 8.  9.  9. 34. 44. 10.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[-3.  2.  1. -3.  1. -1.  2.  1. -1.  1.  0.  7. -2. -5.  6. -2.  1. -1.]
7,0,[ 8. 17.  9. 33. 50. 11.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[-2.  2.  0. -3.  1. -1.  3.  1. -2.  1.  0.  7. -3. -5.  6. -2.  0. -1.]
8,0,[ 8. 19. 19. 32. 52. 12.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[-2.  3.  1. -4.  1. -2.  2.  1. -1.  2.  0.  7. -2. -6.  6. -2.  1. -1.]
9,0,[18. 22. 19. 33. 53. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[-3.  2.  1. -3.  1.  0.  2.  1.  0.  2.  0.  7. -3. -5.  6. -2.  0. -1.]
10,0,[19. 17. 13. 34. 55. 12.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[-4.  2.  1. -4.  1.  0.  4.  1. -2.  3.  0.  8. -3. -5.  6. -2.  1. -2.]
11,0,[20. 18. 15. 37. 56. 13.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[-3.  2.  1. -4.  2. -1.  3.  1.  0.  3.  0.  7. -4. -5.  6. -3.  1. -2.]
12,0,[25. 20. 15. 39. 57. 15.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[-5.  3.  0. -5.  1.  0.  4.  2.  0.  5. -1.  7. -5. -5.  5. -6.  1. -1.]
13,0,[24. 21. 18. 42. 58. 19.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[-5.  3.  0. -6.  1.  0.  5.  2.  0.  6.  0.  7. -5. -5.  6. -4.  1. -1.]
14,0,[27. 24. 22. 46. 60. 25.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 3. 3.],[-5.  3.  1. -5.  1.  0.  5.  0.  0.  7.  0.  7. -6. -5.  6. -5.  1. -1.]
