Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 0:3:50.720	-0.543	-0.248	0.8022	0.061	-0.3052	0.0	-16.908	32.921	-2.922	27.9	None	None	None	None	None	None	None	0.94919	-0.13647	0.28284	0.01807
 2000-0-0 0:3:50.740	-0.542	-0.2505	0.8022	0.0	0.0	0.0	-16.908	32.915	-2.922	27.88	None	None	None	None	None	None	None	0.94919	-0.13647	0.28284	0.01807
 2000-0-0 0:3:50.760	-0.541	-0.2515	0.8037	0.0	0.0	0.0	-16.908	32.915	-2.922	27.89	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.01807
 2000-0-0 0:3:50.780	-0.5415	-0.2505	0.8042	0.0	0.0	0.0	-16.908	32.915	-2.922	27.9	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.01807
 2000-0-0 0:3:50.800	-0.541	-0.2485	0.8032	0.0	0.0	0.0	-16.908	32.915	-2.922	27.9	None	None	None	None	None	None	None	0.94919	-0.13651	0.28281	0.0181
 2000-0-0 0:3:50.820	-0.5425	-0.2476	0.8027	0.0	0.0	0.0	-16.908	32.915	-2.922	27.91	None	None	None	None	None	None	None	0.94919	-0.13651	0.28281	0.0181
 2000-0-0 0:3:50.840	-0.543	-0.2471	0.8027	0.0	0.0	0.0	-16.908	32.915	-2.922	27.91	None	None	None	None	None	None	None	0.94919	-0.13651	0.28281	0.0181
 2000-0-0 0:3:50.860	-0.543	-0.2471	0.8018	0.0	0.0	0.0	-16.908	32.915	-2.922	27.89	None	None	None	None	None	None	None	0.94919	-0.13651	0.28281	0.0181
 2000-0-0 0:3:50.880	-0.542	-0.248	0.8027	0.0	0.0	0.0	-16.908	32.915	-2.922	27.88	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.0181
 2000-0-0 0:3:50.900	-0.542	-0.249	0.8037	0.0	0.0	0.0	-16.908	32.915	-2.922	27.9	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.01807
 2000-0-0 0:3:50.920	-0.541	-0.2495	0.8042	0.0	0.0	0.0	-16.908	32.915	-2.922	27.92	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.01807
 2000-0-0 0:3:50.940	-0.5415	-0.2495	0.8027	0.0	0.0	0.0	-16.908	32.915	-2.922	27.88	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.01807
 2000-0-0 0:3:50.960	-0.5415	-0.2495	0.8032	0.0	0.0	0.0	-16.908	32.915	-2.922	27.9	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.01807
 2000-0-0 0:3:50.980	-0.542	-0.25	0.8018	0.0	0.0	0.0	-16.908	32.915	-2.922	27.88	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.01807
 2000-0-0 0:3:51.0	-0.5425	-0.2495	0.8037	0.0	0.0	0.0	-16.908	32.915	-2.922	27.85	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.01807
 2000-0-0 0:3:51.20	-0.542	-0.2485	0.8027	0.0	0.0	0.0	-16.908	32.915	-2.922	27.88	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.0181
 2000-0-0 0:3:51.40	-0.541	-0.2476	0.8032	0.0	0.0	0.0	-16.908	32.915	-2.922	27.92	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.0181
 2000-0-0 0:3:51.60	-0.542	-0.248	0.8037	0.0	0.0	0.0	-16.908	32.915	-2.922	27.85	None	None	None	None	None	None	None	0.94919	-0.13647	0.28281	0.01807
