count,sum_leg,reflex,on_reflex_,traj_error
394,[ 0.  0.  0.  6. 34.  8.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  1. -1.  0. -1.  1.  1. -1.  0.  1.  1.  0. -8.  0. -2.  0.  0.]
395,[ 0.  0.  0.  0. 31.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  0.  0.  0. -1.  0.  0.  0.  0.  1.  0.  1. -8.  0. -1.  0. -2.]
396,[ 9.  0.  0.  4. 31.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -2.  1.  0.  1.  0.  1.  1. -1. -1.  0.  0.  0. -7.  1. -1. -1. -1.]
397,[10.  0.  0.  0. 31.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -2.  0. -1.  0.  0.  0.  0.  0. -2.  1.  1.  1. -8.  0. -1. -1.  0.]
398,[ 6.  0.  0.  0. 31.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -2.  1. -1.  0.  0.  0.  0.  0. -1.  1.  0.  2. -8.  1. -1.  0. -1.]
399,[ 7.  0.  0.  0. 31.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -2.  2.  0.  0. -1.  0.  0. -1.  0.  1.  0.  2. -8.  1. -1. -2. -1.]
400,[ 8.  0.  0.  0. 31.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -2.  2. -1.  2. -1.  0.  1. -2.  0.  1.  0.  1. -8.  1. -1. -1. -1.]
401,[ 8.  0.  0.  4. 38.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -2.  2. -1.  1. -1.  1.  1. -1.  0.  1.  0.  1. -8.  0. -1. -2.  0.]
402,[15.  0.  0.  4. 38.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  1.  0.  1. -1.  1.  1.  0.  0.  1.  0.  1. -7.  1. -1. -2. -1.]
403,[14.  4.  0.  4. 36. 11.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1.  0.  1.  1. -1.  0. -1. -1.  0. -1.  1.  0.  2. -7.  1.  0. -1.  1.]
404,[ 6.  0.  0.  4. 35.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  1.  0.  0.  0.  0.  0.  0. -2.  1.  0.  2. -7.  1.  0. -2.  0.]
405,[ 5.  0.  0.  4. 35.  7.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  0.  0.  0. -1.  1.  1.  0. -1.  0.  0.  2. -8.  1.  0. -2. -1.]
406,[ 0.  0.  0.  0. 40.  7.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  1.  0.  0.  0.  0.  0.  0. -1.  0.  1.  1. -8.  1.  0.  0.  0.]
407,[ 0.  0.  0.  5. 41.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  2. -8.  1. -1.  0.  0.]
408,[ 0.  0.  0.  0. 42.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  1.  0.  1.  0.  1.  0.  0.  0.  1.  1.  1. -8.  1. -1.  0.  1.]
409,[ 0.  0.  0.  0. 42.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  1.  0.  0.  0.  0.  0.  0.  1.  1.  2.  2. -7.  1. -1.  0.  0.]
410,[ 4.  0.  0.  5. 41.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  0. -1.  1.  0.  0.  0. -1.  1.  0.  2.  1. -8.  1. -2.  0. -1.]
411,[ 4.  0.  0.  6. 41.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  1.  0.  0.  0.  0.  1. -1.  2.  0.  2.  2. -8.  1. -1. -1.  0.]
412,[ 4.  0.  0.  7. 41.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0.  1.  0.  0.  0.  0.  1.  0.  3.  0.  2.  1. -8.  1. -1. -1.  0.]
413,[ 0.  0.  0. 15. 41.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  1.  0.  1. -1.  0.  0. -1.  2.  1.  2.  2. -7.  2. -1.  1.  0.]
414,[ 0.  0.  0. 16. 42.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  0. -1.  0.  0.  0.  0. -1.  2.  0.  2.  1. -8.  1.  0.  0. -1.]
415,[ 0.  0.  0. 17. 42.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  1.  1.  1.  0.  1.  0.  0.  3.  0.  1.  1. -7.  2. -1.  0.  0.]
416,[ 0.  0.  0. 17. 41.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  1.  0.  1. -1.  0.  1.  1.  4.  0.  2.  0. -7.  2.  0.  1.  0.]
417,[ 4.  0.  0. 18. 36.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  2.  1.  0.  1.  0.  0.  1.  0.  3.  1.  2.  0. -7.  3. -1.  0. -1.]
418,[10.  0.  0. 19. 37.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2.  1. -1.  0.  0.  1.  0.  0.  3.  1.  2. -1. -8.  3.  0.  0. -1.]
419,[15.  0.  0. 20. 39.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  0. -1.  0. -1.  1.  0.  0.  4.  1.  2.  0. -8.  3.  0.  1.  0.]
420,[11.  0.  0. 22. 41.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  0.  0.  0. -1.  1.  1. -1.  3.  0.  2. -1. -8.  3. -1.  0. -1.]
421,[11.  0.  0. 21. 43.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3.  0.  0.  0. -1.  0.  1.  0.  3.  1.  2. -1. -7.  3. -1.  0.  0.]
422,[11.  0.  0. 21. 43.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  2.  0. -1.  0.  0.  0.  0.  0.  3.  1.  2. -1. -7.  3.  0.  0. -1.]
423,[12.  0.  0. 21. 42.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  2.  0. -1.  0.  0.  1.  0.  0.  3.  1.  2. -2. -7.  3.  0.  1. -1.]
424,[14.  0.  0. 20. 46.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-3.  3. -1. -1.  1.  0.  1.  0.  0.  3.  1.  1. -1. -8.  3. -1.  1.  0.]
425,[18.  0.  0. 23. 46.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  2. -1. -1.  0.  0.  0.  1.  1.  3.  0.  1. -1. -8.  3.  0.  0.  0.]
426,[18.  4.  0. 18. 47.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2.  0.  0.  0.  0.  0.  1.  0.  2.  0.  1. -1. -7.  2. -1.  0.  0.]
427,[17.  0.  0. 16. 46.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3.  0.  0.  1.  0.  0.  1.  0.  3.  1.  1. -1. -8.  2. -2.  0.  0.]
428,[17.  0.  0. 15. 45.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2.  0.  0.  1. -1.  0.  1.  0.  3.  0.  1.  0. -8.  2. -1.  1.  0.]
429,[14.  0.  4. 15. 40.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2.  0. -1.  0. -1.  2.  1.  0.  2.  1.  2.  0. -8.  2.  0.  0. -1.]
430,[13.  0.  4. 15. 39.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2.  0.  0.  1.  0.  0.  0.  0.  1.  2.  1. -1. -7.  2. -1.  0. -1.]
431,[13.  0.  0. 14. 39.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2.  0. -1.  0.  0.  1.  0.  0.  0.  1.  1.  0. -8.  2. -1.  0.  0.]
432,[12.  0.  0.  5. 39.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -1.  0.  0.  0.  0.  1.  0. -1.  0.  1. -1. -7.  1.  0.  0. -1.]
433,[12.  0.  0.  5. 37.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3.  0.  0.  0.  0.  1.  0. -1.  0.  1.  2. -1. -8.  1. -1.  0. -1.]
434,[13.  0.  0.  5. 36.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -1.  0.  0.  0.  1.  1.  0. -1.  0.  2.  0. -7.  1.  0.  0. -1.]
435,[13.  0.  0.  6. 35.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1.  2. -1.  2. -1.  1. -1. -1.  1. -3.  1.  1.  2. -6.  1.  1. -1.  0.]
436,[ 9.  0.  0.  6. 32.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1.  2. -2.  1.  0.  1. -1.  0.  0. -2.  1.  0.  1. -8.  1.  1.  0.  0.]
437,[ 9.  0.  0.  0. 33.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  2. -2.  1. -1.  1. -2.  0.  1. -2.  1. -1.  1. -8. -1.  1.  0.  0.]
438,[14.  0.  0.  8. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  4. -4.  0. -1.  1. -1.  0.  1. -2.  1. -1.  1. -8.  0.  1.  0.  0.]
439,[19.  4.  5. 13. 35.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1.  2. -3.  1. -1.  0.  0.  0.  0. -1.  0. -1.  1. -7.  0.  1. -1.  0.]
440,[21.  0.  0.  7. 35.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  2. -3.  0.  0.  0.  0.  0.  0. -1.  1.  0.  0. -8.  0.  0.  0.  0.]
441,[22.  0.  0.  6. 31.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  3. -3.  1.  0.  0.  0.  1.  0. -1.  0. -1.  1. -7.  0.  0.  0.  0.]
442,[24.  0.  0.  5. 30.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  3. -3.  0.  0.  0.  0.  0.  0. -1.  1. -1.  0. -8.  0.  0.  0. -1.]
443,[22.  0.  0.  4. 30.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -3.  0.  0.  0.  0.  0.  0. -1.  0. -1.  0. -7.  0.  0.  0.  0.]
444,[22.  0.  0.  4. 30.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  3. -3.  1. -1.  1.  0.  1.  0. -1.  0. -1. -1. -7.  0.  0.  0. -1.]
445,[23.  0.  0.  8. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -3.  0.  1.  0.  1.  0.  0.  0.  1.  0.  0. -7.  0. -1.  0.  0.]
446,[22.  0.  0.  0. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3. -3.  0. -1.  0.  0.  1.  0.  0.  0.  0. -1. -7.  0. -1. -1.  0.]
447,[22.  0.  0.  0. 28.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  2. -3.  0.  1.  0.  1.  0.  0.  0.  1.  1.  0. -7.  0. -1.  0.  0.]
448,[22.  0.  0.  0. 28.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3. -3.  0.  0.  0.  0.  1.  0.  1.  1.  0.  0. -8. -1.  0.  0. -1.]
449,[22.  0.  0.  0. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  3. -3. -1.  0. -1.  0.  1.  0.  2.  1. -1.  0. -7.  0. -1.  0.  0.]
450,[23.  0.  0.  0. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3. -3.  0.  0.  1.  1.  0.  1.  1.  0. -1. -1. -8.  0. -1.  0.  0.]
451,[23.  0.  0.  0. 30.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -3.  0.  0.  0.  0.  1.  1.  1.  1.  0. -2. -6.  0. -1.  1.  0.]
452,[23.  0.  0.  5. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3. -3.  0. -1.  0.  1.  1.  0.  1.  0.  0. -1. -7.  0. -1.  0. -1.]
453,[23.  0.  0.  5. 28.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3. -3.  1. -1. -1.  0.  1.  0.  1.  0.  0. -1. -8.  0. -1.  0.  0.]
454,[27.  0.  0.  4. 34.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -3.  3. -1.  0.  0.  1.  0.  1.  1.  0. -2. -8.  0. -3.  1.  0.]
455,[26.  0.  4.  4. 35.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -2.  3. -1.  0.  0.  0.  0.  1.  0.  0. -1. -8.  0. -4.  0. -1.]
456,[25.  4.  0.  4. 36.  9.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3. -2.  3. -1.  0.  1.  1.  0.  0.  1.  0. -1. -7.  0. -4.  0.  0.]
457,[24. 14.  0.  0. 36. 12.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  3. -2.  5. -1.  1.  1.  0.  0.  1.  1.  0. -2. -8.  0. -5. -1.  0.]
458,[19. 18.  0.  0. 37. 16.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -3.  6. -1.  0.  1.  0.  0.  0.  0. -1. -1. -7.  0. -4.  0. -1.]
459,[19. 21.  0.  0. 35. 17.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -2.  8. -2.  1.  0.  0.  0.  0.  1. -1. -1. -8.  0. -5.  0.  0.]
460,[19. 27.  0.  0. 35. 18.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  2. -2.  8. -2.  2.  1.  0.  0. -1.  1. -1. -2. -8.  0. -4.  0.  0.]
461,[18. 33.  0.  0. 37. 18.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  2. -2. 10. -2.  2.  1.  0.  0. -2.  1. -3. -1. -7.  1. -4.  0.  0.]
462,[23. 39.  0.  6. 35. 17.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3. -3. 11. -2.  3.  1.  0.  0. -2.  2. -3. -3. -7.  1. -3.  0.  0.]
463,[24. 53.  0. 13. 37. 16.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3. -2. 11. -2.  3.  1.  1.  1. -3.  1. -5. -1. -7.  1. -3.  1. -1.]
464,[25. 58.  4. 25. 36. 14.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  4. -2. 13. -3.  4.  1.  0.  0. -3.  1. -5. -1. -7.  1. -1. -1.  0.]
465,[21. 66.  4. 31. 38. 11.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -2. 13. -4.  3.  1.  1.  0. -4.  1. -5. -1. -8.  1.  0.  0.  0.]
466,[21. 72.  4. 35. 39.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  2. -3. 14. -4.  4.  1.  1.  0. -5.  1. -5. -1. -7.  1.  1.  0.  0.]
467,[20. 78.  4. 39. 37.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  2. -2. 15. -3.  4.  1.  0.  1. -5.  1. -4. -1. -7.  0.  1.  1.  1.]
468,[19. 84.  4. 40. 33.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  2. -2. 14. -4.  4.  1.  0.  0. -6.  2. -5.  0. -7.  1.  0.  0.  0.]
469,[17. 86.  4. 44. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3. -2. 16. -4.  4.  1.  0.  0. -6.  2. -5. -1. -8.  2.  2.  0.  0.]
470,[18. 90.  4. 47. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  3. -3. 17. -4.  4.  1.  0.  0. -7.  1. -5. -1. -7.  1.  1.  0.  0.]
471,[19. 93.  4. 49. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  3. -3. 16. -4.  4.  0.  1.  0. -7.  1. -5.  0. -7.  0.  1.  0.  0.]
472,[21. 95.  0. 52. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  2. -2. 16. -4.  4.  1.  0.  1. -7.  1. -5. -1. -7.  1.  0.  0.  0.]
473,[21. 97.  0. 52. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  3. -2. 17. -4.  4.  0.  0.  0. -7.  1. -5. -1. -8.  0.  0.  0.  0.]
474,[21. 98.  0. 52. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  4. -3. 17. -4.  4.  0.  1.  0. -8.  2. -6.  0. -8.  0. -1.  0.  1.]
475,[22. 98.  0. 55. 30.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  3. -3. 17. -4.  4.  1. -1.  0. -8.  2. -6.  0. -7.  1.  0.  0.  0.]
476,[22. 99.  0. 58. 30.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  2. -2. 17. -3.  5.  0.  0.  0. -9.  1. -5.  0. -7.  1.  0.  0.  0.]
477,[ 22. 100.   0.  60.  30.   0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1.  3. -4. 18. -3.  5.  1.  1.  0. -9.  1. -6. -1. -8.  0. -1.  0.  0.]
478,[ 24. 101.   0.  63.  30.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  0.   3.  -4.  17.  -3.   5.   1.   0.   1. -10.   2.  -6.   0.  -7.
   0.  -1.   1.   0.]"
479,[ 24. 101.   0.  65.  29.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  3. -3. 17.  4. -4.  0.  0.  1. -9.  1. -6.  0. -7.  0.  0.  0. -1.]
480,[24. 69.  0. 65. 29.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ 21.   6.  -3.  38.  22. -22. -18.   0.   0. -27.   2.  -1.  20.  -1.
   4.  17.   0.   0.]"
481,[29. 90.  0. 80. 23.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ 18.   6.  -4.  29.  41. -41. -16.   0.  -1. -25.   2.  -1.  17.  -2.
   4.  14.   0.   0.]"
482,[ 32. 101.   0.  92.  17.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ 16.   5.  -2.  22.  57. -57. -13.   0.   0. -22.   2.  -1.  14.  -1.
   4.  12.  -1.   0.]"
483,[ 32. 354.   0.  99.  11.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ 13.   6.  -3.  20.  73. -71. -11.   0.   0. -19.   2.  -1.  12.  -1.
   4.  10.   1.   1.]"
484,[103. 493.  58. 105.  84.  53.],[1. 1. 0. 1. 0. 0.],[1. 1. 1. 1. 1. 1.],"[ 10.   6.  -4.  18.  85. -82.  -9.   0.   0. -17.   2.  -1.   9.  -1.
   4.   8.   0.   1.]"
485,[ 93. 596.  49.  95.  73.  44.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  7.   6.  -4.  14.  92. -91.  -7.   0.   0. -15.   2.  -1.   8.  -1.
   4.   7.  -1.  -1.]"
486,[ 82. 682.  40.  85.  63.  37.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  5.   6.  -3.  11.  97. -98.  -6.   0.   0. -12.   2.  -1.   6.  -1.
   3.   6.   0.   0.]"
487,[ 73. 752.  33.  75.  54.  31.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   5.    6.   -4.    9.  103. -104.   -5.    0.    0.  -11.    2.   -1.
    4.   -1.    2.    5.   -1.    1.]"
488,[ 66. 804.  27.  67.  44.  26.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   4.    6.   -3.    7.  108. -110.   -4.    0.    0.   -8.    1.   -1.
    4.   -1.    1.    3.    0.    0.]"
489,[ 59. 844.  22.  57.  36.  21.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   2.    5.   -3.    6.  112. -113.   -4.    0.    0.   -7.    2.   -1.
    3.    0.    1.    2.   -1.    0.]"
490,[ 52. 878.  19.  49.  24.  16.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    6.   -3.    4.  115. -116.   -2.    0.    0.   -5.    1.    1.
    2.   -1.    0.    2.    0.   -1.]"
491,[ 48. 907.  15.  37.  13.  12.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    6.   -2.    2.  119. -119.   -2.    0.    0.   -3.    1.    0.
    1.   -1.   -1.    1.    0.    0.]"
492,[ 42. 931.  12.  28.  10.   8.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   0.    5.   -3.    2.  120. -120.   -2.    1.    0.   -2.    1.    0.
    0.   -1.   -2.    0.    0.    1.]"
493,[ 33. 948.  10.  22.   0.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   0.    7.   -3.    0.  121. -122.   -1.    1.    1.    1.    2.    0.
   -1.    0.   -1.    0.    0.   -1.]"
494,[ 35. 952.   7.   5.   0.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  -1.    7.   -2.    1.  122. -123.    0.    0.    0.    4.    1.    0.
   -1.   -1.    0.    0.    0.    0.]"
495,[ 35. 966.   0.   5.   0.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    6.   -2.    0.  123. -124.    0.    1.    0.    6.    2.   -1.
   -3.    0.   -1.   -1.    0.   -1.]"
496,[ 35. 975.   0.   6.   0.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    6.   -2.   -1.  124. -125.    1.    0.    0.    7.    2.   -1.
   -6.   -2.    0.   -2.   -1.    0.]"
497,[ 35. 984.   0.  25.  11.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    6.   -2.   -1.  124. -125.    1.    0.    0.    8.    2.   -1.
   -8.   -1.    0.   -4.   -1.    0.]"
498,[ 40. 990.   0.  32.  18.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  -4.    6.   -2.   -2.  125. -125.    1.    0.    0.    9.    2.   -1.
   -8.   -1.    0.   -4.   -1.    0.]"
499,[ 42. 995.   0.  42.  25.  11.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  -4.    6.   -3.   -1.  125. -125.    1.    0.    1.    7.    2.   -1.
   -7.   -1.    0.   -5.    1.    0.]"
500,[  45. 1003.    4.   43.   34.   15.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    6.   -2.    0.  125. -126.   -1.    0.    0.    5.    2.   -1.
   -5.   -1.    0.   -3.    0.   -2.]"
501,[  45. 1000.    0.   41.   32.   16.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  -4.    6.   -2.    0.  124. -125.   -1.    1.    0.    5.    1.    0.
   -6.   -2.    0.   -3.    0.    0.]"
502,[  47. 1000.    0.   33.   31.   15.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  -3.    6.   -2.   -1.  125. -124.    1.    0.    0.    5.    0.   -1.
   -6.   -1.    0.   -4.    0.    0.]"
503,[ 46. 999.   0.  22.  29.  15.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[  -2.    6.   -2.    0.  124. -125.    0.    0.    0.    6.    1.   -1.
   -5.   -1.    0.   -2.    0.    0.]"
504,[ 43. 998.   0.  21.  27.  12.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   0.    6.   -2.   -1.  124. -124.    1.    0.    0.    6.    1.    0.
   -5.   -1.    0.   -3.    0.    0.]"
505,[ 32. 995.   0.  22.  27.  12.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    6.   -2.    0.  123. -124.    1.    0.    0.    5.    2.   -1.
   -5.   -1.    0.   -3.    0.    0.]"
506,[ 32. 993.   0.  22.  25.  12.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    6.   -2.   -1.  124. -123.    1.    0.    0.    4.    2.   -1.
   -5.   -1.    0.   -1.    0.    1.]"
507,[ 32. 991.   0.  27.  24.   9.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   1.    6.   -2.   -1.  123. -123.    1.    0.    0.    3.    2.   -1.
   -4.   -1.    0.    0.    0.    0.]"
508,[ 32. 988.   4.  25.  23.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   4.    6.   -2.    1.  123. -123.   -1.    0.    0.   -1.    2.    0.
   -1.    0.   -1.    3.    0.    0.]"
509,[ 39. 986.   0.   8.  15.   0.],[0. 1. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],"[   5.    6.   -2.    1.  123. -122.    0.    0.    0.   -1.    2.    0.
    0.    0.   -1.    3.    0.    0.]"
