count,sum_leg,reflex,on_reflex_,traj_error
31,[28. 13. 15. 15. 31. 18.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  3. -2.  0.  0.  2.  0.  0. -1.  2.  2. -1. -2. -1.  0.  1.  1.]
32,[23.  9. 10. 16. 23.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1. -1.  4. -1.  0.  0.  2.  0.  0. -1.  2.  2.  0. -2. -1.  2. -1.  0.]
33,[15.  7.  9. 16. 12.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 2. -1.  4. -1.  0.  1.  1. -1.  0. -2.  1.  2.  0. -2.  0.  3.  0.  0.]
34,[15.  6.  7. 15.  8.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 4. -1.  3.  0.  0.  0.  2. -1.  0. -3.  2.  1.  1. -1. -1.  2. -1.  1.]
35,[18.  0.  7. 21.  7.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 4. -1.  3. -1.  0.  1.  1.  0.  0. -1.  2.  2.  1. -1.  0.  2.  0.  0.]
36,[29.  0.  6. 21.  6.  9.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 5. -1.  4. -1.  0.  0.  1.  0.  0. -1.  1.  2.  1. -1. -1.  2.  0.  0.]
37,[33.  0.  5. 20.  5.  9.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 4. -1.  3. -1.  1.  1.  1.  0.  0. -3.  2.  2.  2. -2.  0.  1. -1.  0.]
38,[34.  0.  5. 22. 10.  7.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 3. -1.  3.  0.  0.  0.  1.  0.  0. -2.  2.  2.  0. -2.  0.  1. -1.  0.]
39,[33.  0.  4. 22.  6.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 4. -1.  3.  0.  0.  0.  0.  0.  0. -2.  2.  2.  0. -1.  0.  0.  0.  0.]
40,[33.  0.  0. 23.  6.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 3. -1.  3.  0.  0.  0.  1.  0.  0. -3.  1.  2.  1. -1. -1. -2.  0. -1.]
41,[30.  0.  0. 25.  6.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 3.  0.  4. -1.  0.  0.  0. -1.  0. -3.  2.  2.  0. -2.  0. -2. -1.  0.]
42,[26.  0.  0. 25.  6.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 3. -1.  4. -1. -1.  0.  0.  0.  0. -2.  2.  2.  0. -2. -1. -1. -1.  0.]
43,[27.  0.  0. 25.  6.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 2.  0.  3.  0.  0.  0.  0.  0.  0. -3.  1.  2.  0. -2.  0. -1.  0.  0.]
44,[25.  0.  0. 25.  7.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1.  0.  4.  0.  0.  0.  0. -1.  0. -1.  1.  1.  0. -1.  0. -2.  0.  0.]
45,[24.  0.  0. 22.  7.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1.  1.  4.  0. -1.  0.  1.  0.  0. -2.  2.  2.  1. -3.  0. -1.  0.  0.]
46,[22.  0.  0. 21.  8.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 1.  0.  3. -1.  0.  0.  0. -1.  0. -2.  1.  2. -1. -2.  0.  0.  0.  1.]
47,[19.  0.  0. 20.  8.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0.  2.  0.  0.  0.  1. -1.  0. -2.  1.  2.  0. -1.  0. -1.  0.  0.]
48,[13.  0.  0. 19.  7.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0.  2.  0.  0.  1.  1.  0. -1. -1.  1.  2. -1. -2.  0. -1. -1.  0.]
49,[11.  0.  0. 20.  8.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  1.  2. -1. -1.  0.  1.  0.  0. -1.  2.  2. -1. -1.  0. -1.  0.  0.]
50,[ 9.  0.  0. 19.  6.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-3.  0.  2.  0.  0.  0.  1.  0.  0.  0.  1.  2. -1. -1. -1. -1. -1.  0.]
51,[ 8.  0.  4. 13.  5.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-5.  0.  2. -2. -1.  0.  2.  0.  1.  1.  1.  1. -3. -2.  0. -2. -1.  1.]
52,[ 8.  0.  5. 12. 12.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-5.  0.  2. -1.  0.  0.  1. -1.  1.  2.  1.  1. -3. -3.  0. -2.  0.  1.]
53,[23.  0.  5. 11. 15.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-4.  0.  3. -1.  0.  0.  2.  0.  1.  1.  1.  1. -2. -2.  0. -1.  0.  1.]
54,[26.  0.  6.  9. 17.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-4.  0.  2. -2.  0.  1.  1.  0.  1.  1.  1.  1. -3. -1.  0. -1. -1.  0.]
55,[27.  6. 10. 13. 19.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-5.  0.  2. -1.  0.  1.  1. -1.  1.  2.  1.  2. -3. -1.  0. -2. -1.  0.]
56,[27.  5.  9. 15. 18.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-4.  0.  2. -1. -1.  1.  0.  0.  1.  2.  3.  2. -2. -2.  0. -2. -1.  0.]
57,[26.  5.  4. 18. 16.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-4.  0.  2.  0.  0.  2.  1.  0.  1.  2.  1.  2. -2. -1.  0. -2.  0.  1.]
58,[25.  5.  4. 20. 15.  7.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-4.  0.  2.  0.  0.  1.  2.  0.  0.  2.  1.  2. -2. -3.  0. -2.  0.  0.]
59,[25.  5.  0. 22. 16.  8.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-3.  0.  2. -1.  0.  1.  1.  0.  0.  3.  1.  1. -2. -1.  0. -2. -1.  0.]
60,[23.  5.  0. 22. 15.  8.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-3.  0.  2. -1.  0.  1.  0. -1.  0.  3.  1.  1. -1. -2.  1. -1. -1.  0.]
61,[22.  5.  0. 20. 14.  7.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-3.  0.  3. -1. -1.  1.  1. -1.  0.  3.  1.  2. -1. -2.  0. -1. -1.  0.]
62,[22.  4.  0. 21. 14.  6.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  0.  1. -1.  0.  0.  1.  0.  1.  3.  1.  1. -1. -2.  1. -1.  0.  0.]
63,[19.  4.  0. 21. 12.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2. -1.  1. -1.  0.  1.  0. -1.  0.  3.  1.  2. -1. -1.  0. -1.  0.  1.]
64,[17.  4.  0. 22. 11.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  0. -1.  0.  1.  1. -1.  0.  3.  1.  2. -1. -2.  0. -1. -1.  0.]
65,[ 8.  4.  0. 23. 11.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2. -1.  0. -2.  0.  1.  1.  0.  0.  2.  1.  2. -1. -2.  1. -1. -1.  1.]
66,[ 7.  5.  0. 22. 11.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2. -1. -1. -1. -1.  1.  1. -1.  1.  2.  1.  2. -1. -1.  1. -1. -1.  0.]
67,[11.  9.  0. 22. 10.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  0. -1.  0.  1.  1. -1.  1.  2.  1.  2. -1. -2.  1.  0.  0.  1.]
68,[10.  9.  4. 21. 11.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  0.  0.  0. -1.  0.  0.  0.  1.  1.  1. -1. -2.  1. -1. -1.  1.]
69,[ 4.  0.  0. 18. 15.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2. -1.  0.  0.  0. -1.  0.  0.  1.  2.  2.  1.  0. -2.  1. -1.  0.  1.]
70,[ 4.  0.  0. 18. 11.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  0.  0. -1. -1.  0.  1.  0.  1.  2.  1.  2. -1. -1.  1. -1. -1.  0.]
71,[ 0.  0.  0. 18. 11.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0.  0. -1. -1. -1.  1. -1.  1.  1.  2.  1. -1. -3.  1.  0. -1.  0.]
72,[ 0.  0.  0. 17. 12.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  0.  0.  0. -1.  1.  0.  0.  1.  1.  2. -1. -1.  1. -1.  0.  1.]
73,[ 0.  0.  0. 18. 11.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1. -1. -1.  0.  0.  1.  0.  0.  1.  1.  3. -1. -2.  0. -1.  0.  1.]
74,[ 0.  0.  4. 18. 11.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  1.  0. -1.  0.  1.  0.  1.  1.  1.  2. -1. -2.  0.  0.  0.  0.]
75,[ 0.  0.  4. 17. 12.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2. -1.  0.  0.  0.  0.  0. -1.  1.  2.  1.  2. -1. -2.  0.  0.  0.  0.]
76,[ 9.  0.  0. 18. 11.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  1.  0.  0.  0.  0.  0.  0.  0.  1.  1.  2. -2. -1.  0. -1.  0.  0.]
77,[ 5.  0.  0. 18. 12.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  0.  0.  0.  1.  1. -1.  1.  2.  2.  2. -2. -3.  0. -1. -1.  0.]
78,[ 5.  0.  0. 19. 14.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0. -1. -1.  0.  0.  1.  0.  1.  1.  1.  2. -2. -2.  1. -1.  0.  0.]
79,[ 0.  0.  0. 19. 15.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2.  0.  0. -1. -1.  0.  2. -1.  0.  1.  1.  2. -2. -2.  0. -1. -1. -1.]
80,[ 0.  0.  0. 18. 16.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0.  1. -1.  0.  1.  1. -1.  1.  2.  1.  2. -3. -2.  1. -1.  0.  0.]
81,[ 0.  0.  5. 19. 18.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  1.  0.  0.  1.  1. -1.  1.  2.  1.  2. -1. -2.  0.  0.  0. -1.]
82,[ 0.  0.  5. 18. 16.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  0.  0. -1.  0.  0. -1.  1.  2.  1.  2. -1. -2.  0.  0.  0. -1.]
83,[ 0.  0.  4. 19. 15.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  1.  0.  0.  1.  1.  0.  0.  2.  1.  2. -2. -2.  1.  0. -2.  0.]
84,[ 0.  0.  0. 20. 15.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0.  0.  0. -1.  0.  0.  0.  1.  1.  0.  2. -3. -2.  1. -1.  0.  1.]
85,[ 0.  0.  0. 15. 15.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  0.  0.  0.  1.  1. -1.  1.  2.  0.  2. -2. -3.  1.  0.  0.  0.]
86,[ 0.  0.  0. 15. 17.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0. -1.  0.  0.  1.  1.  0.  1.  1.  0.  2. -1. -2.  0. -1. -1.  1.]
87,[ 0.  0.  0. 14. 17.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  0.  1.  0.  1.  1. -1.  1.  2.  0.  2. -2. -2.  1. -1.  0.  1.]
88,[ 0.  0.  4. 14. 17.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  1.  0.  0.  1.  1.  0.  0.  1. -1.  2. -2. -3.  0. -1.  0.  1.]
89,[ 4.  4.  4. 14. 17.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  0.  0. -1.  1.  0.  0.  1.  2. -1.  2. -1. -2.  1. -1.  0.  1.]
90,[ 4.  4.  0. 14. 15.  8.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0. -1. -1.  0.  0.  1.  0.  0.  2.  0.  2. -2. -2.  1. -1. -1.  1.]
91,[ 0.  0.  0. 15. 16.  8.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1. -1.  0. -1.  1.  1. -1.  0.  2. -2.  2. -1. -2.  1.  0. -2.  1.]
92,[ 0.  0.  0. 15. 15.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0.  0. -1.  0.  1.  0.  0.  0.  2. -2.  2. -1. -2.  0. -1. -1.  2.]
93,[ 0.  0.  0. 16. 13.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0. -1.  0.  0. -1.  1.  0. -1.  0.  2. -1.  2. -1. -2.  1. -1. -1.  1.]
94,[ 0.  0.  0. 16. 13. 10.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1. -1. -1. -1.  1.  0.  0.  1.  3. -1.  1. -2. -2.  1.  0. -3.  0.]
95,[ 0.  4.  0. 22. 13.  7.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0.  0.  0.  1.  0.  0.  0. -1.  2. -1.  2. -1. -2.  1.  0.  0.  1.]
96,[ 0.  0.  0. 21. 13.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  0.  0. -1.  0.  0.  0.  0.  2. -1.  2. -1. -2.  0.  0. -1.  2.]
97,[ 0.  0.  0. 20. 13.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  0.  0. -3.  0.  0.  0. -1.  2. -1.  2. -1. -2.  1.  0.  0.  1.]
98,[ 0.  0.  0. 20. 13.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1.  0.  0.  0. -3.  1.  0. -1.  0.  2. -1.  2. -1. -2.  1.  0. -1.  1.]
99,[ 0.  0.  0. 20. 12.  5.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[ 0.  0.  0.  0. -2.  1.  0.  0.  0.  2. -1.  2. -1. -2.  0.  0. -1.  0.]
100,[ 0.  9.  0. 20. 12.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  0. -1. -2.  1.  0. -1. -1.  2. -1.  1.  0. -2.  1. -1. -1.  1.]
101,[ 0. 10.  0. 19.  8.  0.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-1. -1.  0. -1. -1.  1.  0.  0. -2.  2. -1.  2. -1. -2.  0.  0. -1.  1.]
102,[ 0. 12.  0. 19.  8.  4.],[0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1.],[-2. -1.  0. -1.  0.  1.  0.  0. -2.  3. -1.  1. -1. -2.  1. -1. -1.  2.]
